m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47973,-53933852872.70484,-589120540.548598,28689.870123806526,-27502.681579504864,-4878.693714559064
4.867466257521635e+24,85867685278.1194,65805003527.71886,-4048904997.676025,-21408.57774382293,27647.206584169697,1615.4095554863
5.972365262433514e+24,-2117988288.717134,147133540603.15854,-10349405.051821614,-30266.394613754703,-531.6867427517656,-0.38012636262169097
7.346031390779777e+22,-2486870167.9725704,147295919070.92972,-38371067.86545498,-30671.102591065286,-1410.159731609819,52.05354172510823
6.417120205436417e+23,-246481683319.85455,-8600683429.073124,5860214478.739893,1745.1037399395298,-22144.03175804872,-506.87657196307754
1.8981871943454438e+27,490753637407.81415,-581147155569.1653,-8562708687.532334,9832.079964872399,9048.202999445532,-257.5581010964589
5.683361026390224e+26,-74249896608.97528,1346078553895.0269,-20401998201.443417,-10161.811912899284,-546.7861262871279,414.3409766985834
8.681273407389496e+25,40663727514.43913,2844899353345.1924,9998455885.888311,-6853.394991055363,-214.48366682816513,87.77182051838524
1.0241261669693524e+26,4280568711705.964,1262752179710.3413,-124779536614.58627,-1567.4746291429249,5253.583105065036,-72.3586096275277
0.0,-2559687330.8023844,147269747837.65125,-35511835.61244322,-36312.53734088427,11059.623994197842,-2198.1311041788545
0.0,-2319089298.066715,147198188109.89755,-21350737.33987048,-36189.419561439594,11242.417165624463,-2227.5163271916563
0.0,-2299015743.0754876,147192264034.27216,-20183981.338221177,-36163.37503518949,11275.020982562559,-2233.794340529243
0.0,-2254020490.7699995,147179058866.11606,-17592116.601458192,-36077.00329583847,11378.447239939795,-2255.0579246371403
0.0,-2260334128.765639,147180907883.8038,-17954446.53258236,-36092.42028530715,11360.405720750006,-2251.2135694574376
0.0,-2446596096.5375137,147236018912.0558,-28824473.565617725,-36281.086971486184,11119.545657647805,-2206.38818035541
0.0,-2314628182.6568513,147196880139.19727,-21094059.432051837,-36184.07266205998,11249.161623347054,-2228.792493200837
0.0,-2443547127.3991723,147235134033.95154,-28652352.379818626,-36279.71666590186,11121.455806859483,-2206.672075979538
0.0,-2527707471.3178887,147260211929.00998,-33619507.76019759,-36305.204404161566,11076.419078243538,-2200.319309889769
0.0,-2502456982.632915,147252679863.88974,-32124910.34381057,-36299.739843327385,11089.80588419474,-2202.1344684698142
0.0,-2352762251.9844975,147208149713.6882,-23315791.365335982,-36223.15392983719,11198.816499325663,-2219.5039706193625
0.0,-2635573114.581065,147292378347.87674,-40005396.422560014,-36328.29881381479,11025.993823371053,-2194.1453221426973
0.0,-2881842801.916137,147365826498.52393,-54636969.98285634,-36358.06418918508,10947.74686617073,-2187.100991564726
0.0,-2697810396.099129,147310947474.6874,-43700337.246689714,-36338.317740055245,11003.06188805677,-2191.755106038216
0.0,-2756094809.8651423,147328322640.12204,-47158538.41586706,-36345.87279125236,10983.95668025906,-2189.975608421312
0.0,-2253031141.2365236,147178772527.32672,-17536044.902540796,-36074.44482235915,11381.417204097148,-2255.6966987225733
0.0,-2633018361.530767,147291618607.1532,-39855061.621615194,-36327.83382287364,11027.008677254351,-2194.2558214628143
0.0,-2489140414.082581,147248703884.83362,-31337731.12632674,-36296.467252304436,11096.448133020525,-2203.0498433346265
0.0,-2241911403.0872483,147175528585.77408,-16902844.55277422,-36042.97806480464,11417.70649726107,-2263.5947704038035
0.0,-2380978875.455664,147216518106.9657,-24968594.354428448,-36244.837781735965,11169.790282608668,-2214.454481945577
0.0,-2349705250.0343227,147207241305.07114,-23135533.086783703,-36220.497323980366,11202.31747084476,-2220.1308624808457
0.0,-2633053325.5585785,147291633294.6531,-39860561.77957928,-36327.837740360235,11026.99731520448,-2194.2518881705105
0.0,-2505551514.730726,147253598054.30002,-32308262.51815458,-36300.42988782618,11088.221738130964,-2201.9147547831626
0.0,-2354718459.7040052,147208729923.72955,-23431070.479189638,-36224.82055279752,11196.61440585341,-2219.11065322119
0.0,-2263091944.273987,147181715767.97708,-18112896.266969107,-36098.73318640776,11352.972807730248,-2249.6445026105425
0.0,-2306306013.2099752,147194417438.89542,-20608314.210352246,-36173.46794032268,11262.475199547685,-2231.3509999460393
0.0,-2462435492.2482877,147240746338.09418,-29761693.7405178,-36287.62794281126,11110.250382630327,-2205.0111529956785
0.0,-2334442711.304376,147202725593.44382,-22246026.27872892,-36206.09434144104,11221.08266928056,-2223.534552139946
0.0,-2454938124.77703,147238515514.71912,-29320586.97406914,-36284.63119436343,11114.529285831813,-2205.6376536585362
0.0,-2693863325.793411,147309776043.7971,-43467118.48942972,-36337.74640037008,11004.428208778234,-2191.8908253350705
0.0,-2458853676.2520466,147239684398.70587,-29553524.34407643,-36286.21719246174,11112.271599490057,-2205.303870444393
0.0,-2324858225.720074,147199897678.32724,-21689061.362233892,-36195.9651443026,11234.080154167536,-2225.9437172888224
0.0,-2395107166.1119776,147220715526.0184,-25797104.594431944,-36254.066086099774,11157.176001946857,-2212.3442079568626
0.0,-2224355265.0113063,147170432240.6443,-15908053.35494716,-35979.76726297845,11488.947997327257,-2279.707553364624
0.0,-2345301101.0350704,147205939641.99048,-22878175.677397814,-36216.53529923326,11207.509960232488,-2221.0670197376903
0.0,-2325963136.8415585,147200220087.22717,-21752084.621840693,-36197.1859056231,11232.526757978338,-2225.6550584020883
0.0,-2706205015.371793,147313450892.20923,-44198491.35341945,-36339.502282351,11000.188757327325,-2191.4760397187742
0.0,-2175348770.424761,147156470818.28326,-13236279.123920614,-35593.80341931683,11889.294281375347,-2383.689546967904
0.0,-2176294410.856605,147156733836.03793,-13287706.505022643,-35607.52779832202,11875.927828089352,-2379.769296029945
0.0,-2461264075.441551,147240396180.83563,-29692345.311585817,-36287.17314302645,11110.906590658291,-2205.1063529665935
0.0,-2392088702.223812,147219816303.39554,-25619684.86512999,-36252.17476253105,11159.775554328016,-2212.774181416412
0.0,-2486406462.334453,147247896313.2051,-31177097.052210823,-36295.704284226216,11097.79981719314,-2203.2392200437985
0.0,-2442396656.7652345,147234781159.3403,-28581591.722210184,-36279.20534820066,11122.183175909235,-2206.7835614592136
0.0,-2029524995.3496723,147104197770.52777,-2829488.2000481244,-36684.0904775835,11234.901296899805,-2217.696297393115
0.0,-2454434316.8238153,147238368611.9787,-29291159.402290713,-36284.42143942053,11114.823473570976,-2205.6821506130677
0.0,-2438181656.689506,147233521000.1012,-28330201.99514915,-36277.27545989063,11124.895647803087,-2207.199090326629
0.0,-2461390274.0527234,147240437672.42075,-29700257.95757876,-36287.22059652453,11110.83434718572,-2205.0964331801015
0.0,-2370445256.0459437,147213387375.14218,-24350852.740865804,-36237.30527125233,11179.976235730723,-2216.196407880564
0.0,-2399401387.7020464,147221990681.48224,-26050702.1644428,-36256.692555211885,11153.561147311972,-2211.74519154063
0.0,-2460483164.196417,147240165243.29385,-29644939.984103672,-36286.86702631326,11111.342594703325,-2205.173240324848
0.0,-2640338340.3342023,147293798207.67365,-40288654.7393659,-36329.15217101523,11024.121444673463,-2193.938858920219
0.0,-2632272263.136767,147291402026.57864,-39811374.31656885,-36327.695527935015,11027.3042675551,-2194.2904902979703
0.0,-2460721317.4269233,147240243205.02463,-29663612.3623599,-36286.95484821569,11111.214172513359,-2205.1488368644737
0.0,-2375677540.430142,147214954665.3778,-24660290.316059623,-36241.10884783792,11174.830621684438,-2215.312475932779
0.0,-2600105931.0392585,147281802402.6442,-37906064.49010707,-36321.43613871383,11040.726974038711,-2195.820284910338
0.0,-2574094206.4907703,147274051240.95035,-36366330.70000422,-36315.818566039896,11052.589633602336,-2197.251545922484
0.0,-2346978727.6218734,147206436848.43405,-22976783.31259864,-36218.05987875457,11205.513999163055,-2220.7052418362514
0.0,-2518010464.5520678,147257321616.95898,-33045422.499924887,-36303.0979302665,11081.657483664238,-2201.0243745313583
0.0,-2490570126.08701,147249137646.81293,-31425913.649744358,-36296.84608435518,11095.745935196408,-2202.9491604271657
0.0,-2518495742.116537,147257459202.3703,-33073607.430611055,-36303.20588219642,11081.396437802941,-2200.987607246258
0.0,-2233789181.6567435,147173160046.84695,-16439025.904667232,-36016.17104473186,11448.19665552432,-2270.403805149591
0.0,-2499401195.1501613,147251768071.95853,-31945547.441765487,-36299.03936583702,11091.354375520066,-2202.345050344176
0.0,-2203538447.2711444,147164435064.40555,-14746801.53564818,-35870.74958209525,11607.560764502849,-2308.151140201685
0.0,-2511948781.91364,147255512303.9126,-32686617.614738785,-36301.805606518064,11084.887607972307,-2201.4630462035193
0.0,-2483448463.4615674,147247012479.8221,-31004254.225719184,-36294.84497903879,11099.270525553982,-2203.4416594707504
0.0,-2346546498.0660233,147206314415.74042,-22953922.140782136,-36217.66176726935,11206.026990618318,-2220.7947192834977
0.0,-2471978056.843588,147243591346.6566,-30325139.601513457,-36291.13676177165,11105.106527719825,-2204.2691668683515
0.0,-2341452681.747593,147204804942.61493,-22655614.188264646,-36212.9430366454,11212.192607243027,-2221.9116873767666
0.0,-2509273718.4601707,147254714463.62576,-32529610.16504924,-36301.23295156597,11086.293260668674,-2201.652200339414
0.0,-2391994773.9146957,147219787376.53033,-25613950.76426844,-36252.1160146515,11159.857434349131,-2212.788406686405
0.0,-2384854900.865366,147217667645.61475,-25194331.711778335,-36247.466752626424,11166.213006036649,-2213.8529224279723
0.0,-2658266548.4881196,147299154201.30396,-41354794.43598138,-36332.22380748344,11017.26164489834,-2193.201020132974
0.0,-2437107519.2881207,147233197799.5768,-28267715.145601127,-36276.774741962065,11125.603501032561,-2207.305071921451
0.0,-2205735841.232856,147165063706.6659,-14868099.733429119,-35884.74350670416,11592.613580301466,-2304.4546589934857
0.0,-2690539541.2156577,147308774857.897,-43268010.17378078,-36337.26426531331,11005.586930997919,-2192.004673799179
0.0,-2511343030.827646,147255329882.2942,-32650928.211182587,-36301.67745142549,11085.206493528342,-2201.504709822148
0.0,-2256978105.3134837,147179923437.91415,-17759769.217466693,-36084.40636936426,11369.805721641262,-2253.219607501744
0.0,-2251822156.6239634,147178413818.28754,-17464257.201927043,-36071.29981305806,11385.08668944314,-2256.495969777021
0.0,-2410264255.603716,147225220291.37906,-26687442.167067952,-36263.00040644792,11144.828687864127,-2210.3295220384784
0.0,-2373277677.9747896,147214234223.89423,-24516828.82712806,-36239.38578811419,11177.165302180476,-2215.7142470269214
0.0,-2546152627.482101,147265712733.727,-34710410.42902337,-36309.39804426009,11066.559483981991,-2199.0216341960167
0.0,-2033817406.5471168,147105577569.89572,-3100123.920968182,-36696.94683661438,11245.096906304158,-2220.1335085148376
0.0,-2574920177.739,147274296339.9625,-36414914.41931364,-36316.00485687823,11052.195221409764,-2197.2028212324944
0.0,-2408704537.5887895,147224756529.6814,-26596886.59645777,-36262.12231425643,11146.048631053442,-2210.5250112441354
0.0,-2295941325.455986,147191356966.8509,-20003998.26860256,-36158.8703773751,11280.583393493762,-2234.894372520423
0.0,-2608783369.9996033,147284395130.2774,-38422677.08794962,-36323.1979211563,11036.984882265439,-2195.382002443307
0.0,-2002642861.211037,147095593322.023,-1133824.8758326324,-36624.96525222998,11189.284012963417,-2206.7485710721817
0.0,-2159893966.8864217,147152239287.44937,-12474561.436878242,-35278.64556351723,12181.365374054452,-2474.520894062993
0.0,-2445634866.586889,147235742038.4027,-28771243.431520343,-36280.65630682018,11120.14560012153,-2206.475516272767
0.0,-2504792078.3896303,147253369007.72433,-32261881.351691794,-36300.26375905488,11088.613439814053,-2201.9704091639055
0.0,-2248803613.9995384,147177538626.4072,-17294995.772758648,-36063.114448038556,11394.551699035537,-2258.5309569733104
0.0,-2401811655.6859293,147222710031.42432,-26192025.773029286,-36258.13008940474,11151.573328931876,-2211.4219031317
0.0,-2347474141.152933,147206583463.93073,-23006779.345654268,-36218.50604927283,11204.929511998045,-2220.597260728779
0.0,-2319931829.5172806,147198440443.8909,-21400274.472698558,-36190.395220948994,11241.171881430984,-2227.280610300398
0.0,-2690100998.961924,147308645597.73526,-43241300.37852988,-36337.19968426971,11005.738684091362,-2192.020849739343
0.0,-2776837950.431693,147334508569.93326,-48389307.77128376,-36348.224397758364,10977.570382774808,-2189.4231835641576
0.0,-2183889079.7751293,147158859613.07675,-13684672.708553838,-35703.24838182077,11780.99402022036,-2353.2709401549746
0.0,-2398705097.6636047,147221789229.68323,-26011227.78560486,-36256.26690150536,11154.142233900058,-2211.840668010026
0.0,-2244381943.2385163,147176241006.9707,-17040521.568387706,-36050.48182560254,11409.129218020658,-2261.7170906332713
