m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47673,-53933852872.70771,-589120540.5491076,28689.870123808345,-27502.681579502496,-4878.69371455904
4.867466257521635e+24,85867685278.11714,65805003527.72175,-4048904997.6758556,-21408.577743823877,27647.206584168984,1615.4095554863447
5.972365262433514e+24,-2117988288.7202938,147133540603.15854,-10349405.05182165,-30266.394613754706,-531.6867427524044,-0.3801263626218563
7.346031390779777e+22,-2486870167.9757733,147295919070.92963,-38371067.86544959,-30671.102591065057,-1410.1597316105585,52.0535417251255
6.417120205436417e+23,-246481683319.85437,-8600683429.075438,5860214478.739839,1745.1037399397574,-22144.03175804871,-506.8765719630829
1.8981871943454438e+27,490753637407.8152,-581147155569.1644,-8562708687.532362,9832.079964872386,9048.20299944555,-257.55810109645853
5.683361026390224e+26,-74249896608.97636,1346078553895.0269,-20401998201.443375,-10161.811912899282,-546.7861262871356,414.34097669858363
8.681273407389496e+25,40663727514.438416,2844899353345.1904,9998455885.88832,-6853.394991055365,-214.4836668281669,87.7718205183852
1.0241261669693524e+26,4280568711705.9614,1262752179710.3418,-124779536614.58627,-1567.4746291429253,5253.583105065035,-72.35860962752771
0.0,-2521804023.5711546,147258449406.92548,-33269496.8408096,-36303.91510849343,11079.615213806486,-2200.7483553602033
0.0,-2287256088.973464,147188809281.5746,-19505956.796108436,-36145.22957570806,11297.274574681838,-2238.200605445388
0.0,-2209440070.2021847,147166127670.1937,-15074156.363138037,-35906.77164522652,11568.916862024864,-2298.6543029949203
0.0,-2529061464.306666,147260612122.1329,-33699392.56704174,-36305.5065270346,11075.68562277263,-2200.2202433609655
0.0,-2314388734.755309,147196797479.5538,-21077673.513829507,-36183.800315760585,11249.526191108733,-2228.8625368587186
0.0,-2629028299.6198215,147290428146.4306,-39619646.63951237,-36327.10000214973,11028.606897372774,-2194.432464932624
0.0,-2353204185.234209,147208280418.67865,-23341391.183135286,-36223.53415187812,11198.313469376648,-2219.414706348105
0.0,-2269181046.450215,147183499080.36234,-18463677.88567454,-36111.85831926707,11337.430508890666,-2246.391787579711
0.0,-2479173791.610975,147245739434.57483,-30750930.26210237,-36293.53175377162,11101.410445432553,-2203.7435178628366
0.0,-1968823853.395444,147084887176.5891,971450.5175815936,-36580.48621355089,11157.312140616406,-2198.7599367486
0.0,-2310596548.0062556,147195682654.55804,-20855547.27725759,-36179.05817871,11255.479644542283,-2230.0089643179176
0.0,-2266566951.3185487,147182729079.49683,-18309601.28775057,-36106.36957500319,11343.955255298792,-2247.7652386335367
0.0,-2503394522.849894,147252958369.31412,-32181922.64446872,-36299.94959093186,11089.331646013037,-2202.06697126247
0.0,-2682943470.345941,147306513284.9858,-42818904.59513558,-36336.13032016537,11008.264699417588,-2192.272351486672
0.0,-2389252165.6464224,147218972422.61868,-25453644.737391915,-36250.3583298713,11162.266441838558,-2213.188460750006
0.0,-2623704656.404469,147288841401.12836,-39302916.146909334,-36326.1032562566,11030.763568078664,-2194.6758957980746
