t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932738.89354455,3,3062,-2074492195.9105682,147134298377.57956,-10348860.476884581,-30266.480633773233,-522.8968462721557,-0.37774919245785576,-2079380234.1665382,147123872429.2853,-6799390.269635342,-36507.69707160747,13438.502446593615,-2814.728156545252,0.9445992279736205,0.6615619850092288,0.8514979556821102,2460636.917706558,271.36558952575734,134.36132610809364,3.408223852568976
240932738.89354455,3,813,-2074492195.9105682,147134298377.57956,-10348860.476884581,-30266.480633773233,-522.8968462721557,-0.37774919245785576,-2079599054.7309942,147123953844.317,-6815002.983012632,-36483.50179216801,13445.628141787165,-2817.189060440319,0.94585230265185,0.6615619906394818,0.8514979174071241,2460636.91771987,271.3656158160776,134.36130810444558,3.4082247754750377
240932738.89354455,3,862,-2074492195.9105682,147134298377.57956,-10348860.476884581,-30266.480633773233,-522.8968462721557,-0.37774919245785576,-2079077893.1662598,147123736300.98987,-6770612.919357777,-36541.6941928461,13422.707957927023,-2809.6539874920254,0.9452427058155858,0.6615620023526971,0.851497941947169,2460636.9177095224,271.36559647767285,134.36132039220996,3.4082243667255225
240932811.5663084,3,1368,-2076691744.5546048,147134260361.0693,-10348887.933337986,-30266.4763449857,-523.341338082685,-0.3778696066031039,-2078240372.2454767,147123150466.4158,-6647011.567933073,-36853.12995131674,13332.985699319674,-2785.4027208764883,0.9260040965440243,0.6615621680874398,0.8514978728176259,2460636.9177136687,271.36560981164536,134.36130446446143,3.40822578041876
240932811.5663084,3,4172,-2076691744.5546048,147134260361.0693,-10348887.933337986,-30266.4763449857,-523.341338082685,-0.3778696066031039,-2077620659.207948,147122873855.87463,-6587682.121205714,-36906.651401723284,13267.824254055928,-2765.336264687486,0.9428735908268807,0.6615621876467089,0.8514978835007122,2460636.917719161,271.36562070998747,134.36129897262649,3.4082270664518446
240932879.2392232,3,2916,-2078739965.094667,147134224931.03024,-10348913.508669203,-30266.472345408416,-523.7552493524582,-0.37798171684688225,-2089467516.2922993,147127938427.81522,-7645841.03497734,-35697.12415910148,13631.8974795839,-2896.9770676186185,0.9974912128313328,0.6615617761020435,0.851497966495912,2460636.9177091173,271.36560223861534,134.3613172493176,3.4082253428100366
240932879.2392232,3,3087,-2078739965.094667,147134224931.03024,-10348913.508669203,-30266.472345408416,-523.7552493524582,-0.37798171684688225,-2077383829.8163805,147122553687.03943,-6518488.653052288,-37093.092418954555,13119.893345066432,-2723.9839947702453,0.9688068267659101,0.6615623178187539,0.8514978225353892,2460636.917721202,271.36562502992916,134.36129084413795,3.4082273657101814
240932879.2392232,3,2237,-2078739965.094667,147134224931.03024,-10348913.508669203,-30266.472345408416,-523.7552493524582,-0.37798171684688225,-2089495424.8487122,147127950169.40894,-7649804.389521056,-35694.73392296869,13630.04028341071,-2896.1593596836997,0.9988169549870886,0.661561781600037,0.8514979502135447,2460636.9177064677,271.3655901524383,134.3613256563629,3.4082213722536983
240933012.3775197,3,3053,-2082769591.1392078,147134155144.93988,-10348963.847190969,-30266.46446023744,-524.5695706020634,-0.3782022254085948,-2079402623.542245,147123016188.13687,-6611281.835449149,-37275.22677017373,13055.633914143631,-2712.43280661353,0.9581354067079776,0.6615624260041246,0.8514978322331039,2460636.917717664,271.3656081520126,134.36130538481913,3.408225947843252
240933074.4835218,3,708,-2084649320.130066,147134122554.22516,-10348987.339012664,-30266.4607745068,-524.9494333780613,-0.3783050627939278,-2080162160.5331779,147123148355.2221,-6635227.336586427,-37353.11226459733,12979.68147452269,-2693.002683408958,0.973964360084279,0.6615624712476025,0.8514978662391309,2460636.917717609,271.36560576867595,134.3613108462069,3.4082262743320646
