m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47995,-53933852872.70463,-589120540.5485599,28689.87012380639,-27502.68157950504,-4878.6937145590655
4.867466257521635e+24,85867685278.11958,65805003527.71864,-4048904997.6760383,-21408.57774382286,27647.20658416975,1615.4095554862965
5.972365262433514e+24,-2117988288.716898,147133540603.15854,-10349405.051821612,-30266.394613754706,-531.6867427517179,-0.3801263626216727
7.346031390779777e+22,-2486870167.9723315,147295919070.92972,-38371067.86545541,-30671.10259106531,-1410.1597316097636,52.05354172510647
6.417120205436417e+23,-246481683319.85455,-8600683429.072952,5860214478.739899,1745.1037399395127,-22144.03175804872,-506.8765719630772
1.8981871943454438e+27,490753637407.814,-581147155569.1654,-8562708687.5323305,9832.0799648724,9048.20299944553,-257.558101096459
5.683361026390224e+26,-74249896608.97519,1346078553895.0269,-20401998201.443428,-10161.811912899284,-546.7861262871274,414.34097669858335
8.681273407389496e+25,40663727514.439186,2844899353345.1924,9998455885.888313,-6853.394991055365,-214.48366682816498,87.77182051838524
1.0241261669693524e+26,4280568711705.964,1262752179710.341,-124779536614.58626,-1567.4746291429249,5253.583105065036,-72.3586096275277
0.0,-2410194284.0451794,147225192866.94376,-26682768.472164903,-36262.96621840179,11144.88415282389,-2210.3368136360286
0.0,-2385422375.0266614,147217836407.17877,-25227282.92954003,-36247.84459229002,11165.698079239799,-2213.7669428162735
0.0,-2447467368.184842,147236288735.67685,-28880351.361634314,-36281.46116459862,11119.010597061899,-2206.304087767675
0.0,-2338354072.7055116,147203889843.41174,-22476241.232341524,-36209.96308937157,11216.063208236239,-2222.613281859435
0.0,-2224257115.551635,147170399691.68692,-15901626.816438468,-35979.3763797467,11489.401724690837,-2279.8130984143677
0.0,-2502966902.783692,147252836627.6293,-32157621.98510165,-36299.85091691561,11089.549528998645,-2202.0982338754366
0.0,-2437697853.2365117,147233383863.78787,-28304637.273617193,-36277.04363560258,11125.217419695511,-2207.2450832281907
0.0,-2312824242.9020815,147196341212.57864,-20989667.489771374,-36181.8582214611,11251.963231072572,-2229.320914857547
0.0,-2494236538.435425,147250232096.3678,-31641216.288485143,-36297.79101694294,11093.930495034818,-2202.7003843362904
0.0,-2361751120.8327217,147210821987.35675,-23842798.292795572,-36230.588592534186,11188.94758088984,-2217.7612261428485
0.0,-2581590888.1510944,147276278180.465,-36807918.59337543,-36317.48895623282,11049.062776391544,-2196.8193986578776
