m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.4768,-53933852872.70764,-589120540.549093,28689.870123808305,-27502.681579502572,-4878.69371455904
4.867466257521635e+24,85867685278.11723,65805003527.72165,-4048904997.6758614,-21408.577743823833,27647.206584168995,1615.4095554863434
5.972365262433514e+24,-2117988288.7202034,147133540603.15857,-10349405.051821653,-30266.39461375469,-531.6867427523861,-0.38012636262185256
7.346031390779777e+22,-2486870167.9756837,147295919070.92966,-38371067.865449734,-30671.10259106505,-1410.1597316105385,52.05354172512509
6.417120205436417e+23,-246481683319.8544,-8600683429.075369,5860214478.739841,1745.1037399397508,-22144.031758048717,-506.8765719630829
1.8981871943454438e+27,490753637407.81506,-581147155569.1641,-8562708687.532361,9832.079964872382,9048.202999445555,-257.5581010964587
5.683361026390224e+26,-74249896608.9763,1346078553895.0269,-20401998201.443375,-10161.811912899286,-546.7861262871353,414.34097669858346
8.681273407389496e+25,40663727514.438446,2844899353345.1904,9998455885.888325,-6853.394991055363,-214.4836668281668,87.77182051838524
1.0241261669693524e+26,4280568711705.9604,1262752179710.3418,-124779536614.5863,-1567.4746291429256,5253.583105065037,-72.35860962752767
0.0,-2091207994.4606206,147124791581.76276,-6917227.856315518,-37252.29106047786,11699.654100118078,-2340.1802227697303
0.0,-2081576609.5255015,147121400060.63165,-6234906.701901736,-37038.7379682201,11525.34194968194,-2290.7586617975257
0.0,-2142506157.0623813,147147744203.6984,-11778768.44601171,-34433.05329536975,12840.540278289587,-2739.263069945891
0.0,-2083804500.1123345,147122174621.01044,-6389160.578099144,-37077.54725566976,11557.231382572436,-2299.463478839787
0.0,-2103528264.1919262,147129402465.6383,-7874540.888852431,-37938.982705865106,12228.406439956509,-2522.369354078809
0.0,-2145010352.4508805,147148373298.29575,-11861327.96329434,-34622.11660263158,12706.960309873368,-2677.4484990034075
0.0,-2095619219.966179,147126384849.03903,-7241364.6747305505,-37410.59419635841,11826.699134799584,-2379.2926502778996
0.0,-2091254573.0915935,147124804570.80878,-6920668.534417808,-37253.60107021563,11700.79775418827,-2340.49880246102
0.0,-2183416743.1133194,147158733441.56155,-13662294.411032926,-35697.86791789575,11786.343502816864,-2354.7015660076468
0.0,-2176384058.5742893,147156759833.85532,-13292573.44239743,-35608.790442833306,11874.68076927032,-2379.4122710481065
0.0,-2144477651.110452,147148228434.99673,-11838787.931882197,-34585.49814593598,12733.790559759807,-2689.7366164869113
0.0,-2165518503.969456,147153758404.29074,-12741939.378437793,-35417.783290590814,12055.952889086426,-2433.852174737914
0.0,-2134965469.2016618,147145994744.65628,-11637928.591601513,-33535.26498616559,13376.356942051096,-3046.8885710133227
0.0,-2141266784.94576,147147446567.6283,-11744811.561501833,-34323.99029167187,12913.82208359481,-2775.24132632212
0.0,-2093572809.8125212,147125633425.12518,-7087711.11547801,-37329.848360606695,11762.397583785623,-2359.1536094829366
0.0,-2146296683.1440117,147148680608.12555,-11901325.617599435,-34707.354132268425,12644.9442355369,-2650.4930772747934
0.0,-2161269300.031455,147152607958.76877,-12538596.772224009,-35316.11572767313,12148.124331382833,-2463.4840091833494
0.0,-2075489271.5510354,147119315086.11835,-5818559.219683468,-36953.27555229442,11454.8356087093,-2272.069218669512
0.0,-2166726847.814139,147154094897.73273,-12803277.583382666,-35443.214932028655,12032.33631956509,-2426.4479321674735
0.0,-2164469596.2440424,147153481847.85663,-12693925.168016838,-35394.25148808609,12077.397895527376,-2440.579035579174
0.0,-2156923644.061156,147151449071.03918,-12339026.030469565,-35188.42457721477,12259.854259939868,-2501.376647960352
0.0,-2159678386.9017167,147152186179.72665,-12466089.795046682,-35272.40998001269,12186.769046641197,-2476.30504631915
